stimulus_index,predicate,attitude,relationship,modifier,filled_sentence,log_prob,relative_probability
0,面白い,warning,friend,あまり,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤があまり面白くない気がするから、そこ短くしたらどう？」,-5.511886358261108,0.6349388957023621
0,面白い,warning,friend,いまいち,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がいまいち面白くない気がするから、そこ短くしたらどう？」,-11.206220984458923,0.0021365550346672535
0,面白い,warning,friend,かなり,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がかなり面白くない気がするから、そこ短くしたらどう？」,-11.042160034179688,0.002517472254112363
0,面白い,warning,friend,すごく,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がすごく面白くない気がするから、そこ短くしたらどう？」,-9.396068572998047,0.013057293370366096
0,面白い,warning,friend,そこまで,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がそこまで面白くない気がするから、そこ短くしたらどう？」,-9.04604721069336,0.018529575318098068
0,面白い,warning,friend,それほど,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がそれほど面白くない気がするから、そこ短くしたらどう？」,-10.299930572509766,0.005288236774504185
0,面白い,warning,friend,そんなに,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がそんなに面白くない気がするから、そこ短くしたらどう？」,-7.693481206893921,0.07166008651256561
0,面白い,warning,friend,たいして,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がたいして面白くない気がするから、そこ短くしたらどう？」,-13.393272638320923,0.00023982230050023645
0,面白い,warning,friend,だいぶ,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がだいぶ面白くない気がするから、そこ短くしたらどう？」,-12.95510848914273,0.00037169066490605474
0,面白い,warning,friend,ちっとも,友人が動画投稿用に撮ったお笑い動画を大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「中盤がちっとも面白くない気がするから、そこ短くしたらどう？」,-17.654347747564316,3.383201146789361e-06
